ticket_id,content_type,category,priority,status,assigned_team,created_date,resolved_date,resolution_time_hours,region,short_description
TS-1188,Text Post,Bullying / Harassment,Low,In Review,Tier 1 Moderation,2026-03-19 06:45,,,APAC,Reported comment contains mocking language directed at a user.
TS-1189,Text Post,Misinformation,Low,In Review,Tier 2 Specialist,2026-05-10 11:33,,,Africa,Content flagged for a fact-check review queue.
TS-1190,Comment,Animal Harm,High,Escalated,Safety Escalations,2026-03-28 16:21,,,Europe,Post flagged for a policy check on animal welfare guidelines.
TS-1191,Text Post,Hate Speech,High,Open,Tier 2 Specialist,2026-04-23 16:21,,,MENA,User reports a comment that may target a protected group.
TS-1192,Direct Message,Self-Harm,High,Escalated,Safety Escalations,2026-03-18 13:57,,,Europe,Post flagged for language suggesting the user is struggling emotionally.
TS-1193,Comment,Spam,High,In Review,Tier 1 Moderation,2026-04-14 16:21,,,North America,Account posting the same promotional link many times.
TS-1194,Comment,Spam,High,Escalated,Safety Escalations,2026-04-30 16:21,,,MENA,Account mass-tagging users in unrelated promotional posts.
TS-1195,Video,Misinformation,High,Escalated,Safety Escalations,2026-04-02 09:09,,,North America,Content flagged for a fact-check review queue.
TS-1196,Direct Message,Spam,Low,Open,Tier 2 Specialist,2026-05-12 11:33,,,North America,Profile flagged for suspected bot-like posting behaviour.
TS-1197,Comment,Child Safety,High,Escalated,Safety Escalations,2026-04-28 04:21,,,APAC,User reports a suspicious friend request pattern toward younger users.
TS-1198,Text Post,Animal Harm,Medium,Open,Policy Review,2026-05-05 01:57,,,North America,Reported video may show unsafe handling of a pet; needs review.
TS-1199,Direct Message,Hate Speech,High,In Review,Tier 2 Specialist,2026-04-09 23:33,,,APAC,User reports a comment that may target a protected group.
TS-1200,Comment,Misinformation,Medium,Resolved,Tier 1 Moderation,2026-03-14 23:33,2026-03-15 12:51,13.3,Africa,Reporter questions an out-of-context quote in a viral post.
TS-1201,Comment,Spam,High,In Review,Tier 1 Moderation,2026-04-29 16:21,,,MENA,Account posting the same promotional link many times.
TS-1202,Direct Message,Child Safety,High,Escalated,Safety Escalations,2026-03-03 23:33,,,Europe,User reports a suspicious friend request pattern toward younger users.
TS-1203,Image,Hate Speech,High,Resolved,Tier 2 Specialist,2026-05-03 06:45,2026-05-03 16:27,9.7,Europe,Post flagged by automated filter for potentially exclusionary language.
TS-1204,Text Post,Bullying / Harassment,Low,Open,Tier 2 Specialist,2026-03-15 16:21,,,APAC,User reports repeated unwanted negative comments from another account.
TS-1205,Text Post,Bullying / Harassment,Medium,Escalated,Safety Escalations,2026-04-02 13:57,,,Europe,User says a group is targeting them with mean replies.
TS-1206,Comment,Bullying / Harassment,Low,Open,Tier 2 Specialist,2026-03-25 09:09,,,APAC,Account flagged for sending repetitive teasing messages.
TS-1207,Text Post,Hate Speech,Medium,In Review,Tier 2 Specialist,2026-05-09 06:45,,,North America,Comment flagged for a borderline term; needs context review.
TS-1208,Text Post,Bullying / Harassment,High,In Review,Policy Review,2026-01-25 16:21,,,Europe,Reporter asks for help with persistent unkind direct messages.
TS-1209,Comment,Bullying / Harassment,High,In Review,Policy Review,2026-05-08 23:33,,,Africa,Reported comment contains mocking language directed at a user.
TS-1210,Comment,Hate Speech,High,Escalated,Legal & Compliance,2026-04-25 23:33,,,APAC,Reported phrase appears to demean a community; needs policy check.
TS-1211,Text Post,Misinformation,Medium,Open,Tier 2 Specialist,2026-02-22 06:45,,,APAC,Reported content links to a low-credibility source.
TS-1212,Direct Message,Spam,Low,Open,Tier 2 Specialist,2026-01-10 06:45,,,North America,Account mass-tagging users in unrelated promotional posts.
TS-1213,Direct Message,Spam,Medium,Resolved,Policy Review,2026-05-01 13:57,2026-05-02 19:15,29.3,North America,Profile flagged for suspected bot-like posting behaviour.
TS-1214,Comment,Misinformation,Medium,Open,Tier 2 Specialist,2026-05-13 11:33,,,APAC,Content flagged for a fact-check review queue.
TS-1215,Video,Child Safety,Medium,Escalated,Safety Escalations,2026-04-24 13:57,,,APAC,Reported profile may belong to a minor; needs age verification.
TS-1216,Comment,Hate Speech,High,Escalated,Legal & Compliance,2026-04-05 18:45,,,APAC,Post flagged by automated filter for potentially exclusionary language.
TS-1217,Comment,Bullying / Harassment,Medium,Open,Tier 2 Specialist,2025-11-23 23:33,,,North America,Reported comment contains mocking language directed at a user.
TS-1218,Image,Spam,Medium,Resolved,Tier 1 Moderation,2026-04-03 04:21,2026-04-04 15:39,35.3,North America,User reports repetitive advertising messages in their inbox.
TS-1219,Video,Bullying / Harassment,Low,Open,Tier 2 Specialist,2026-05-13 11:33,,,APAC,Reporter asks for help with persistent unkind direct messages.
TS-1220,Comment,Misinformation,Medium,Resolved,Tier 2 Specialist,2026-05-13 04:21,2026-05-13 19:27,15.1,Europe,Reporter questions an out-of-context quote in a viral post.
